"variable","monthly_status","identification_role","notes"
"d_ecb_assets_ea_mavg","monthly_or_event_monthly","monthly_model_candidate",""
"d_ln_ecb_assets_ea_stock","monthly_or_event_monthly","monthly_model_candidate",""
"d_ln_ecb_assets_ea_mavg","monthly_or_event_monthly","monthly_model_candidate",""
"hh_loans_ea_stock","monthly_or_event_monthly","monthly_model_candidate",""
"ln_hh_loans_ea_stock","monthly_or_event_monthly","monthly_model_candidate",""
"hh_loans_ea_real","monthly_or_event_monthly","monthly_model_candidate",""
"ln_hh_loans_ea_real","monthly_or_event_monthly","monthly_model_candidate",""
"d_ln_hh_loans_ea_stock","monthly_or_event_monthly","monthly_model_candidate",""
"d_ln_hh_loans_ea_real","monthly_or_event_monthly","monthly_model_candidate",""
"nfc_loans_ea_stock","monthly_or_event_monthly","monthly_model_candidate",""
"ln_nfc_loans_ea_stock","monthly_or_event_monthly","monthly_model_candidate",""
"nfc_loans_ea_real","monthly_or_event_monthly","monthly_model_candidate",""
"ln_nfc_loans_ea_real","monthly_or_event_monthly","monthly_model_candidate",""
"d_ln_nfc_loans_ea_stock","monthly_or_event_monthly","monthly_model_candidate",""
"d_ln_nfc_loans_ea_real","monthly_or_event_monthly","monthly_model_candidate",""
"dax_close","monthly_or_event_monthly","monthly_model_candidate",""
"ln_dax_close","monthly_or_event_monthly","monthly_model_candidate",""
"dax_real_de","monthly_or_event_monthly","monthly_model_candidate",""
"ln_dax_real_de","monthly_or_event_monthly","monthly_model_candidate",""
"d_ln_dax_real_de","monthly_or_event_monthly","monthly_model_candidate",""
"retail_de_mom_pct","monthly_or_event_monthly","monthly_model_candidate",""
"retail_de_chained_index","monthly_or_event_monthly","monthly_model_candidate",""
"ln_retail_de_chained_index","monthly_or_event_monthly","monthly_model_candidate",""
"d_ln_retail_de_chained_index","monthly_or_event_monthly","monthly_model_candidate",""
"ecb_house_purchase_growth_yoy","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"d_ecb_house_purchase_growth_yoy","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"ecb_house_purchase_pure_new_loans","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"ln_ecb_house_purchase_pure_new_loans","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"d_ln_ecb_house_purchase_pure_new_loans","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"ecb_wage_tracker_headline_yoy","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"d_ecb_wage_tracker_headline_yoy","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"ecb_wage_tracker_ex_oneoffs_yoy","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"d_ecb_wage_tracker_ex_oneoffs_yoy","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"ecb_wage_tracker_unsmoothed_oneoffs_yoy","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"d_ecb_wage_tracker_unsmoothed_oneoffs_yoy","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"inflation_ea20_yoy_pct","monthly_or_event_monthly","metadata",""
"d_inflation_ea20_yoy_pct","monthly_or_event_monthly","monthly_model_candidate",""
"ecb_wage_tracker_headline_real_yoy","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"d_ecb_wage_tracker_headline_real_yoy","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"ecb_wage_tracker_ex_oneoffs_real_yoy","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"d_ecb_wage_tracker_ex_oneoffs_real_yoy","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"ecb_wage_tracker_unsmoothed_oneoffs_real_yoy","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"d_ecb_wage_tracker_unsmoothed_oneoffs_real_yoy","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"ecb_wage_tracker_ex_oneoffs_real_yoy_ma3","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"d_ecb_wage_tracker_ex_oneoffs_real_yoy_ma3","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"ecb_wage_tracker_ex_oneoffs_real_yoy_momentum_3m","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"d_ecb_wage_tracker_ex_oneoffs_real_yoy_momentum_3m","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"ecb_wage_tracker_coverage_pct","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"eurostat_unemployment_rate_ea21_sa","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"eurostat_labor_tightness_unemployment_inv","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"d_eurostat_unemployment_rate_ea21_sa","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"d_eurostat_labor_tightness_unemployment_inv","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"eurostat_ecfin_eei_ea20","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"d_eurostat_ecfin_eei_ea20","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"eurostat_ecfin_services_employment_expectations_ea20","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"d_eurostat_ecfin_services_employment_expectations_ea20","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"ecb_ces_income_expectations_12m_median","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"d_ecb_ces_income_expectations_12m_median","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"ecb_ces_real_income_expectations_12m_median","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"d_ecb_ces_real_income_expectations_12m_median","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"ecb_ces_unemployment_expectations_12m_median","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"d_ecb_ces_unemployment_expectations_12m_median","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"eurostat_sts_industry_wage_bill_de","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"ln_eurostat_sts_industry_wage_bill_de","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"eurostat_sts_industry_wage_bill_de_yoy","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"eurostat_sts_industry_wage_bill_de_real_yoy","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"d_eurostat_sts_industry_wage_bill_de_yoy","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"d_eurostat_sts_industry_wage_bill_de_real_yoy","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"ecb_mir_mortgage_lending_rate","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"ecb_mir_nfc_lending_rate","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"ecb_mir_mortgage_lending_spread_dfr","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"ecb_mir_nfc_lending_spread_dfr","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"d_ecb_mir_mortgage_lending_rate","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"d_ecb_mir_nfc_lending_rate","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"d_ecb_mir_mortgage_lending_spread_dfr","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"d_ecb_mir_nfc_lending_spread_dfr","monthly_or_event_monthly","monthly_model_candidate","Official monthly proxy candidate added without interpolation."
"bls_credit_standards_mortgage_q_observed","quarterly_observed_only_no_interpolation","monthly_model_candidate","Observed only on quarter-end months; missing months are not interpolated."
"bls_credit_standards_nfc_q_observed","quarterly_observed_only_no_interpolation","monthly_model_candidate","Observed only on quarter-end months; missing months are not interpolated."
"bls_credit_standards_consumer_q_observed","quarterly_observed_only_no_interpolation","monthly_model_candidate","Observed only on quarter-end months; missing months are not interpolated."
"bls_loan_demand_mortgage_q_observed","quarterly_observed_only_no_interpolation","monthly_model_candidate","Observed only on quarter-end months; missing months are not interpolated."
"bls_loan_demand_nfc_q_observed","quarterly_observed_only_no_interpolation","monthly_model_candidate","Observed only on quarter-end months; missing months are not interpolated."
"bls_loan_demand_consumer_q_observed","quarterly_observed_only_no_interpolation","monthly_model_candidate","Observed only on quarter-end months; missing months are not interpolated."
"hicp_de","monthly_or_event_monthly","monthly_model_candidate",""
"hicp_ea20","monthly_or_event_monthly","monthly_model_candidate",""
"hicp_ea","monthly_or_event_monthly","monthly_model_candidate",""
"inflation_de_mom","monthly_or_event_monthly","metadata",""
"inflation_ea20_mom","monthly_or_event_monthly","metadata",""
"inflation_de_yoy_pct","monthly_or_event_monthly","metadata",""
"d_inflation_de_yoy_pct","monthly_or_event_monthly","monthly_model_candidate",""
"house_price_de_q_observed","quarterly_observed_only_no_interpolation","metadata","Observed only on quarter-end months; missing months are not interpolated."
"house_price_de_real_q_observed","quarterly_observed_only_no_interpolation","metadata","Observed only on quarter-end months; missing months are not interpolated."
"ln_house_price_de_real_q_observed","quarterly_observed_only_no_interpolation","monthly_model_candidate","Observed only on quarter-end months; missing months are not interpolated."
"d_ln_house_price_de_real_q_observed","quarterly_observed_only_no_interpolation","monthly_model_candidate","Observed only on quarter-end months; missing months are not interpolated."
"compensation_ea20_nominal_q_observed","quarterly_observed_only_no_interpolation","metadata","Observed only on quarter-end months; missing months are not interpolated."
"compensation_ea20_real_q_observed","quarterly_observed_only_no_interpolation","metadata","Observed only on quarter-end months; missing months are not interpolated."
"ln_compensation_ea20_real_q_observed","quarterly_observed_only_no_interpolation","monthly_model_candidate","Observed only on quarter-end months; missing months are not interpolated."
"d_ln_compensation_ea20_real_q_observed","quarterly_observed_only_no_interpolation","monthly_model_candidate","Observed only on quarter-end months; missing months are not interpolated."
"monthly_housing_available","quarterly_observed_only_no_interpolation","metadata",""
"monthly_compensation_available","quarterly_observed_only_no_interpolation","metadata",""
"regime","monthly_or_event_monthly","metadata",""
"identification_regime","monthly_or_event_monthly","metadata",""
"timing_factor_event_count","monthly_or_event_monthly","metadata",""
"timing_factor_monthly_sum","monthly_or_event_monthly","external_policy_surprise_candidate",""
"timing_factor_monthly_mean","monthly_or_event_monthly","external_policy_surprise_candidate",""
"timing_factor_monthly_abs_sum","monthly_or_event_monthly","external_policy_surprise_candidate",""
"timing_factor_monthly_cumulative","monthly_or_event_monthly","external_policy_surprise_candidate",""
"target_factor_event_count","monthly_or_event_monthly","metadata",""
"target_factor_monthly_sum","monthly_or_event_monthly","external_policy_surprise_candidate",""
"target_factor_monthly_mean","monthly_or_event_monthly","external_policy_surprise_candidate",""
"target_factor_monthly_abs_sum","monthly_or_event_monthly","external_policy_surprise_candidate",""
"target_factor_monthly_cumulative","monthly_or_event_monthly","external_policy_surprise_candidate",""
"fg_factor_event_count","monthly_or_event_monthly","metadata",""
"fg_factor_monthly_sum","monthly_or_event_monthly","external_policy_surprise_candidate",""
"fg_factor_monthly_mean","monthly_or_event_monthly","external_policy_surprise_candidate",""
"fg_factor_monthly_abs_sum","monthly_or_event_monthly","external_policy_surprise_candidate",""
"fg_factor_monthly_cumulative","monthly_or_event_monthly","external_policy_surprise_candidate",""
"qe_factor_event_count","monthly_or_event_monthly","metadata",""
"qe_factor_monthly_sum","monthly_or_event_monthly","external_policy_surprise_candidate",""
"qe_factor_monthly_mean","monthly_or_event_monthly","external_policy_surprise_candidate",""
"qe_factor_monthly_abs_sum","monthly_or_event_monthly","external_policy_surprise_candidate",""
"qe_factor_monthly_cumulative","monthly_or_event_monthly","external_policy_surprise_candidate",""
"weighted_composite_monthly_sum","monthly_or_event_monthly","external_policy_surprise_candidate",""
"weighted_composite_monthly_mean","monthly_or_event_monthly","external_policy_surprise_candidate",""
"weighted_composite_monthly_abs_sum","monthly_or_event_monthly","external_policy_surprise_candidate",""
"weighted_composite_monthly_cumulative","monthly_or_event_monthly","external_policy_surprise_candidate",""
"ecb_assets_ea_trillions","monthly_or_event_monthly","monthly_model_candidate",""
"dax_volume","monthly_or_event_monthly","monthly_model_candidate",""
"ln_hicp_de","monthly_or_event_monthly","monthly_model_candidate",""
"ln_hicp_ea20","monthly_or_event_monthly","monthly_model_candidate",""
"ln_house_price_de_q_observed","quarterly_observed_only_no_interpolation","monthly_model_candidate","Observed only on quarter-end months; missing months are not interpolated."
"ln_compensation_ea20_nominal_q_observed","quarterly_observed_only_no_interpolation","monthly_model_candidate","Observed only on quarter-end months; missing months are not interpolated."
"d_bls_credit_standards_mortgage_q_observed","quarterly_observed_only_no_interpolation","monthly_model_candidate","Observed only on quarter-end months; missing months are not interpolated."
"d_bls_credit_standards_nfc_q_observed","quarterly_observed_only_no_interpolation","monthly_model_candidate","Observed only on quarter-end months; missing months are not interpolated."
"d_bls_credit_standards_consumer_q_observed","quarterly_observed_only_no_interpolation","monthly_model_candidate","Observed only on quarter-end months; missing months are not interpolated."
"d_bls_loan_demand_mortgage_q_observed","quarterly_observed_only_no_interpolation","monthly_model_candidate","Observed only on quarter-end months; missing months are not interpolated."
"d_bls_loan_demand_nfc_q_observed","quarterly_observed_only_no_interpolation","monthly_model_candidate","Observed only on quarter-end months; missing months are not interpolated."
"d_bls_loan_demand_consumer_q_observed","quarterly_observed_only_no_interpolation","monthly_model_candidate","Observed only on quarter-end months; missing months are not interpolated."
"d_ln_dax_close","monthly_or_event_monthly","monthly_model_candidate",""
"d_ln_hicp_de","monthly_or_event_monthly","monthly_model_candidate",""
"d_ln_hicp_ea20","monthly_or_event_monthly","monthly_model_candidate",""
